행정구역,2014년_계_총인구수,2014년_계_연령구간인구수,2014년_계_0~9세,2014년_계_10~19세,2014년_계_20~29세,2014년_계_30~39세,2014년_계_40~49세,2014년_계_50~59세,2014년_계_60~69세,2014년_계_70~79세,2014년_계_80~89세,2014년_계_90~99세,2014년_계_100세 이상,2014년_남_총인구수,2014년_남_연령구간인구수,2014년_남_0~9세,2014년_남_10~19세,2014년_남_20~29세,2014년_남_30~39세,2014년_남_40~49세,2014년_남_50~59세,2014년_남_60~69세,2014년_남_70~79세,2014년_남_80~89세,2014년_남_90~99세,2014년_남_100세 이상,2014년_여_총인구수,2014년_여_연령구간인구수,2014년_여_0~9세,2014년_여_10~19세,2014년_여_20~29세,2014년_여_30~39세,2014년_여_40~49세,2014년_여_50~59세,2014년_여_60~69세,2014년_여_70~79세,2014년_여_80~89세,2014년_여_90~99세,2014년_여_100세 이상,2015년_계_총인구수,2015년_계_연령구간인구수,2015년_계_0~9세,2015년_계_10~19세,2015년_계_20~29세,2015년_계_30~39세,2015년_계_40~49세,2015년_계_50~59세,2015년_계_60~69세,2015년_계_70~79세,2015년_계_80~89세,2015년_계_90~99세,2015년_계_100세 이상,2015년_남_총인구수,2015년_남_연령구간인구수,2015년_남_0~9세,2015년_남_10~19세,2015년_남_20~29세,2015년_남_30~39세,2015년_남_40~49세,2015년_남_50~59세,2015년_남_60~69세,2015년_남_70~79세,2015년_남_80~89세,2015년_남_90~99세,2015년_남_100세 이상,2015년_여_총인구수,2015년_여_연령구간인구수,2015년_여_0~9세,2015년_여_10~19세,2015년_여_20~29세,2015년_여_30~39세,2015년_여_40~49세,2015년_여_50~59세,2015년_여_60~69세,2015년_여_70~79세,2015년_여_80~89세,2015년_여_90~99세,2015년_여_100세 이상,2016년_계_총인구수,2016년_계_연령구간인구수,2016년_계_0~9세,2016년_계_10~19세,2016년_계_20~29세,2016년_계_30~39세,2016년_계_40~49세,2016년_계_50~59세,2016년_계_60~69세,2016년_계_70~79세,2016년_계_80~89세,2016년_계_90~99세,2016년_계_100세 이상,2016년_남_총인구수,2016년_남_연령구간인구수,2016년_남_0~9세,2016년_남_10~19세,2016년_남_20~29세,2016년_남_30~39세,2016년_남_40~49세,2016년_남_50~59세,2016년_남_60~69세,2016년_남_70~79세,2016년_남_80~89세,2016년_남_90~99세,2016년_남_100세 이상,2016년_여_총인구수,2016년_여_연령구간인구수,2016년_여_0~9세,2016년_여_10~19세,2016년_여_20~29세,2016년_여_30~39세,2016년_여_40~49세,2016년_여_50~59세,2016년_여_60~69세,2016년_여_70~79세,2016년_여_80~89세,2016년_여_90~99세,2016년_여_100세 이상,2017년_계_총인구수,2017년_계_연령구간인구수,2017년_계_0~9세,2017년_계_10~19세,2017년_계_20~29세,2017년_계_30~39세,2017년_계_40~49세,2017년_계_50~59세,2017년_계_60~69세,2017년_계_70~79세,2017년_계_80~89세,2017년_계_90~99세,2017년_계_100세 이상,2017년_남_총인구수,2017년_남_연령구간인구수,2017년_남_0~9세,2017년_남_10~19세,2017년_남_20~29세,2017년_남_30~39세,2017년_남_40~49세,2017년_남_50~59세,2017년_남_60~69세,2017년_남_70~79세,2017년_남_80~89세,2017년_남_90~99세,2017년_남_100세 이상,2017년_여_총인구수,2017년_여_연령구간인구수,2017년_여_0~9세,2017년_여_10~19세,2017년_여_20~29세,2017년_여_30~39세,2017년_여_40~49세,2017년_여_50~59세,2017년_여_60~69세,2017년_여_70~79세,2017년_여_80~89세,2017년_여_90~99세,2017년_여_100세 이상,2018년_계_총인구수,2018년_계_연령구간인구수,2018년_계_0~9세,2018년_계_10~19세,2018년_계_20~29세,2018년_계_30~39세,2018년_계_40~49세,2018년_계_50~59세,2018년_계_60~69세,2018년_계_70~79세,2018년_계_80~89세,2018년_계_90~99세,2018년_계_100세 이상,2018년_남_총인구수,2018년_남_연령구간인구수,2018년_남_0~9세,2018년_남_10~19세,2018년_남_20~29세,2018년_남_30~39세,2018년_남_40~49세,2018년_남_50~59세,2018년_남_60~69세,2018년_남_70~79세,2018년_남_80~89세,2018년_남_90~99세,2018년_남_100세 이상,2018년_여_총인구수,2018년_여_연령구간인구수,2018년_여_0~9세,2018년_여_10~19세,2018년_여_20~29세,2018년_여_30~39세,2018년_여_40~49세,2018년_여_50~59세,2018년_여_60~69세,2018년_여_70~79세,2018년_여_80~89세,2018년_여_90~99세,2018년_여_100세 이상,2019년_계_총인구수,2019년_계_연령구간인구수,2019년_계_0~9세,2019년_계_10~19세,2019년_계_20~29세,2019년_계_30~39세,2019년_계_40~49세,2019년_계_50~59세,2019년_계_60~69세,2019년_계_70~79세,2019년_계_80~89세,2019년_계_90~99세,2019년_계_100세 이상,2019년_남_총인구수,2019년_남_연령구간인구수,2019년_남_0~9세,2019년_남_10~19세,2019년_남_20~29세,2019년_남_30~39세,2019년_남_40~49세,2019년_남_50~59세,2019년_남_60~69세,2019년_남_70~79세,2019년_남_80~89세,2019년_남_90~99세,2019년_남_100세 이상,2019년_여_총인구수,2019년_여_연령구간인구수,2019년_여_0~9세,2019년_여_10~19세,2019년_여_20~29세,2019년_여_30~39세,2019년_여_40~49세,2019년_여_50~59세,2019년_여_60~69세,2019년_여_70~79세,2019년_여_80~89세,2019년_여_90~99세,2019년_여_100세 이상
서울특별시  (1100000000),"10,103,233","10,103,233","793,992","1,044,513","1,457,951","1,713,666","1,729,469","1,604,160","980,220","568,848","177,339","28,404","4,671","4,979,768","4,979,768","407,662","541,899","728,892","861,605","865,039","779,817","467,767","259,471","58,891","7,516","1,209","5,123,465","5,123,465","386,330","502,614","729,059","852,061","864,430","824,343","512,453","309,377","118,448","20,888","3,462","10,022,181","10,022,181","783,299","985,790","1,447,221","1,668,253","1,701,609","1,588,333","1,037,752","582,367","192,801","29,719","5,037","4,930,943","4,930,943","401,797","510,041","723,200","837,657","849,573","773,917","492,879","266,597","66,262","7,727","1,293","5,091,238","5,091,238","381,502","475,749","724,021","830,596","852,036","814,416","544,873","315,770","126,539","21,992","3,744","9,930,616","9,930,616","761,314","934,205","1,442,701","1,620,974","1,678,172","1,570,037","1,076,270","602,541","207,716","31,211","5,475","4,876,789","4,876,789","390,234","482,451","719,783","812,434","834,115","768,802","510,048","275,842","73,628","8,046","1,406","5,053,827","5,053,827","371,080","451,754","722,918","808,540","844,057","801,235","566,222","326,699","134,088","23,165","4,069","9,857,426","9,857,426","728,462","894,656","1,447,115","1,579,189","1,647,989","1,553,543","1,109,052","635,309","223,113","33,479","5,519","4,830,206","4,830,206","373,353","461,597","720,019","790,867","818,309","759,316","525,418","290,349","81,165","8,485","1,328","5,027,220","5,027,220","355,109","433,059","727,096","788,322","829,680","794,227","583,634","344,960","141,948","24,994","4,191","9,765,623","9,765,623","690,368","855,121","1,449,790","1,548,770","1,590,374","1,546,954","1,142,415","660,825","238,869","36,294","5,843","4,773,899","4,773,899","353,981","440,320","716,197","774,185","789,945","756,599","540,814","301,846","89,309","9,253","1,450","4,991,724","4,991,724","336,387","414,801","733,593","774,585","800,429","790,355","601,601","358,979","149,560","27,041","4,393","9,729,107","9,729,107","662,693","819,571","1,456,623","1,509,959","1,560,983","1,539,968","1,189,802","684,087","259,487","39,690","6,244","4,744,059","4,744,059","340,334","421,339","713,660","754,830","773,528","754,442","562,796","311,890","99,231","10,413","1,596","4,985,048","4,985,048","322,359","398,232","742,963","755,129","787,455","785,526","627,006","372,197","160,256","29,277","4,648"
서울특별시 종로구,"156,993","156,993","9,331","15,626","23,321","22,416","27,206","25,942","16,440","11,717","4,011",787,196,"77,621","77,621","4,852","8,122","11,810","11,263","13,449","13,181","7,824","5,309","1,478",269,64,"79,372","79,372","4,479","7,504","11,511","11,153","13,757","12,761","8,616","6,408","2,533",518,132,"154,986","154,986","9,256","14,547","23,272","21,826","26,288","25,567","17,157","11,792","4,261",811,209,"76,548","76,548","4,781","7,557","11,859","10,878","12,943","13,022","8,248","5,297","1,613",279,71,"78,438","78,438","4,475","6,990","11,413","10,948","13,345","12,545","8,909","6,495","2,648",532,138,"152,737","152,737","9,039","13,546","23,270","21,063","25,422","25,323","17,535","11,899","4,584",836,220,"75,201","75,201","4,632","6,961","11,801","10,421","12,516","12,937","8,449","5,320","1,795",296,73,"77,536","77,536","4,407","6,585","11,469","10,642","12,906","12,386","9,086","6,579","2,789",540,147,"154,770","154,770","9,003","12,978","23,907","21,433","25,072","25,857","18,058","12,439","4,922",875,226,"75,967","75,967","4,576","6,586","12,163","10,650","12,263","13,125","8,780","5,528","1,920",310,66,"78,803","78,803","4,427","6,392","11,744","10,783","12,809","12,732","9,278","6,911","3,002",565,160,"153,065","153,065","8,588","12,383","23,765","21,231","23,849","25,744","18,581","12,517","5,216",960,231,"74,825","74,825","4,380","6,258","11,927","10,523","11,606","12,931","9,157","5,576","2,060",334,73,"78,240","78,240","4,208","6,125","11,838","10,708","12,243","12,813","9,424","6,941","3,156",626,158,"151,290","151,290","8,211","11,748","23,572","20,376","23,077","25,714","19,128","12,538","5,673","1,000",253,"73,746","73,746","4,143","5,932","11,684","10,086","11,222","12,932","9,486","5,552","2,274",353,82,"77,544","77,544","4,068","5,816","11,888","10,290","11,855","12,782","9,642","6,986","3,399",647,171
서울특별시 중구,"128,065","128,065","8,456","9,902","17,977","21,110","21,158","21,989","14,131","9,395","3,223",596,128,"64,033","64,033","4,299","5,099","9,109","10,814","11,168","11,214","6,879","4,167","1,048",200,36,"64,032","64,032","4,157","4,803","8,868","10,296","9,990","10,775","7,252","5,228","2,175",396,92,"125,733","125,733","8,179","9,105","17,668","20,607","20,436","21,476","14,661","9,385","3,476",603,137,"62,687","62,687","4,134","4,618","8,989","10,522","10,756","10,924","7,157","4,187","1,164",196,40,"63,046","63,046","4,045","4,487","8,679","10,085","9,680","10,552","7,504","5,198","2,312",407,97,"125,249","125,249","8,117","8,533","17,745","20,439","20,094","21,115","15,217","9,440","3,762",627,160,"62,204","62,204","4,098","4,285","8,934","10,413","10,430","10,796","7,509","4,157","1,343",188,51,"63,045","63,045","4,019","4,248","8,811","10,026","9,664","10,319","7,708","5,283","2,419",439,109,"125,709","125,709","7,927","8,129","18,102","20,395","19,801","21,022","15,745","9,832","3,924",666,166,"62,253","62,253","3,991","4,124","9,001","10,348","10,213","10,709","7,843","4,374","1,392",211,47,"63,456","63,456","3,936","4,005","9,101","10,047","9,588","10,313","7,902","5,458","2,532",455,119,"125,725","125,725","7,597","7,693","18,267","20,770","18,968","21,024","16,276","10,064","4,173",714,179,"61,947","61,947","3,806","3,900","8,950","10,432","9,776","10,734","8,071","4,504","1,500",219,55,"63,778","63,778","3,791","3,793","9,317","10,338","9,192","10,290","8,205","5,560","2,673",495,124,"126,171","126,171","7,389","7,308","18,473","20,662","18,491","20,956","16,948","10,380","4,542",835,187,"61,910","61,910","3,758","3,722","8,937","10,344","9,408","10,663","8,453","4,636","1,676",252,61,"64,261","64,261","3,631","3,586","9,536","10,318","9,083","10,293","8,495","5,744","2,866",583,126
서울특별시 용산구,"235,951","235,951","17,361","20,949","31,490","40,729","41,176","37,012","23,459","16,643","5,863","1,009",260,"114,578","114,578","8,734","10,904","15,450","20,156","20,859","18,083","10,739","7,130","2,108",344,71,"121,373","121,373","8,627","10,045","16,040","20,573","20,317","18,929","12,720","9,513","3,755",665,189,"233,342","233,342","16,967","19,844","31,451","39,187","40,283","36,760","24,511","16,669","6,287","1,094",289,"113,177","113,177","8,554","10,341","15,375","19,425","20,270","18,062","11,260","7,153","2,292",364,81,"120,165","120,165","8,413","9,503","16,076","19,762","20,013","18,698","13,251","9,516","3,995",730,208,"230,241","230,241","16,343","18,815","31,289","38,159","39,497","35,996","25,270","16,570","6,807","1,180",315,"111,601","111,601","8,372","9,780","15,310","18,889","19,643","17,785","11,790","7,069","2,489",386,88,"118,640","118,640","7,971","9,035","15,979","19,270","19,854","18,211","13,480","9,501","4,318",794,227,"229,161","229,161","15,310","18,008","31,993","38,016","38,441","35,846","25,834","16,875","7,264","1,262",312,"110,878","110,878","7,849","9,266","15,653","18,933","19,044","17,666","12,145","7,204","2,639",395,84,"118,283","118,283","7,461","8,742","16,340","19,083","19,397","18,180","13,689","9,671","4,625",867,228,"228,999","228,999","14,706","17,149","32,515","38,285","37,130","36,247","26,537","16,995","7,733","1,365",337,"110,640","110,640","7,601","8,731","15,766","19,109","18,282","17,890","12,571","7,325","2,853",421,91,"118,359","118,359","7,105","8,418","16,749","19,176","18,848","18,357","13,966","9,670","4,880",944,246,"228,670","228,670","14,132","16,391","32,837","38,033","36,159","36,459","27,485","17,122","8,176","1,523",353,"110,356","110,356","7,310","8,363","15,830","18,977","17,798","18,020","13,042","7,388","3,055",475,98,"118,314","118,314","6,822","8,028","17,007","19,056","18,361","18,439","14,443","9,734","5,121","1,048",255
서울특별시 성동구,"296,086","296,086","23,378","27,196","43,436","51,812","51,042","47,411","27,819","17,696","5,282",851,163,"147,363","147,363","11,924","13,736","22,027","26,164","26,272","23,852","13,376","7,906","1,811",247,48,"148,723","148,723","11,454","13,460","21,409","25,648","24,770","23,559","14,443","9,790","3,471",604,115,"297,003","297,003","23,518","25,795","43,672","51,194","50,282","47,842","29,714","18,131","5,789",889,177,"147,570","147,570","11,930","12,997","22,221","25,820","25,761","24,158","14,288","8,056","2,044",243,52,"149,433","149,433","11,588","12,798","21,451","25,374","24,521","23,684","15,426","10,075","3,745",646,125,"299,259","299,259","23,593","24,490","44,196","51,486","50,163","48,071","31,058","18,723","6,394",887,198,"148,326","148,326","11,970","12,330","22,457","25,846","25,537","24,343","14,928","8,343","2,278",240,54,"150,933","150,933","11,623","12,160","21,739","25,640","24,626","23,728","16,130","10,380","4,116",647,144,"304,808","304,808","23,437","23,854","45,940","52,396","50,183","48,614","32,557","19,691","6,994",927,215,"150,368","150,368","11,951","11,933","23,166","26,137","25,421","24,489","15,661","8,784","2,519",250,57,"154,440","154,440","11,486","11,921","22,774","26,259","24,762","24,125","16,896","10,907","4,475",677,158,"308,221","308,221","23,077","22,969","46,897","53,359","49,231","49,449","34,279","20,166","7,535","1,030",229,"151,359","151,359","11,749","11,523","23,266","26,467","24,898","24,764","16,629","8,986","2,739",275,63,"156,862","156,862","11,328","11,446","23,631","26,892","24,333","24,685","17,650","11,180","4,796",755,166,"300,889","300,889","21,983","21,435","45,985","50,964","47,169","48,446","35,133","20,424","8,014","1,102",234,"147,273","147,273","11,226","10,733","22,759","25,122","23,710","24,243","17,031","9,093","2,989",303,64,"153,616","153,616","10,757","10,702","23,226","25,842","23,459","24,203","18,102","11,331","5,025",799,170
서울특별시 광진구,"363,354","363,354","26,294","36,833","59,457","64,436","61,999","57,356","32,352","18,213","5,376",892,146,"178,738","178,738","13,428","18,929","29,115","32,383","30,750","28,021","15,600","8,432","1,812",232,36,"184,616","184,616","12,866","17,904","30,342","32,053","31,249","29,335","16,752","9,781","3,564",660,110,"360,369","360,369","25,934","34,438","59,063","63,288","60,793","56,898","34,360","18,622","5,923",895,155,"176,884","176,884","13,295","17,698","28,841","31,699","30,017","27,864","16,459","8,723","2,024",232,32,"183,485","183,485","12,639","16,740","30,222","31,589","30,776","29,034","17,901","9,899","3,899",663,123,"357,215","357,215","25,222","32,260","59,460","61,798","59,439","56,510","35,636","19,421","6,378",917,174,"174,797","174,797","12,938","16,541","28,872","30,909","29,307","27,658","17,002","9,069","2,240",224,37,"182,418","182,418","12,284","15,719","30,588","30,889","30,132","28,852","18,634","10,352","4,138",693,137,"357,703","357,703","24,212","30,875","60,549","61,198","58,472","56,514","37,178","20,556","6,957","1,015",177,"174,414","174,414","12,465","15,798","29,167","30,526","28,757","27,569","17,793","9,512","2,534",254,39,"183,289","183,289","11,747","15,077","31,382","30,672","29,715","28,945","19,385","11,044","4,423",761,138,"355,559","355,559","23,182","29,234","61,256","60,447","56,164","56,427","38,679","21,347","7,550","1,083",190,"172,794","172,794","11,914","14,930","29,332","29,945","27,685","27,501","18,512","9,832","2,812",291,40,"182,765","182,765","11,268","14,304","31,924","30,502","28,479","28,926","20,167","11,515","4,738",792,150,"351,350","351,350","21,657","27,573","61,751","58,175","54,490","55,638","40,451","21,943","8,262","1,205",205,"170,262","170,262","11,115","14,060","29,386","28,756","26,886","27,147","19,274","10,097","3,166",332,43,"181,088","181,088","10,542","13,513","32,365","29,419","27,604","28,491","21,177","11,846","5,096",873,162
서울특별시 동대문구,"363,687","363,687","26,749","33,152","54,367","59,799","59,377","58,564","38,436","24,792","7,165","1,077",209,"182,510","182,510","13,760","16,986","28,404","30,861","30,935","29,080","18,287","11,319","2,515",309,54,"181,177","181,177","12,989","16,166","25,963","28,938","28,442","29,484","20,149","13,473","4,650",768,155,"360,153","360,153","26,070","31,248","54,417","57,581","58,356","57,670","40,283","25,283","7,882","1,135",228,"180,485","180,485","13,379","15,964","28,232","29,789","30,339","28,713","19,278","11,545","2,841",345,60,"179,668","179,668","12,691","15,284","26,185","27,792","28,017","28,957","21,005","13,738","5,041",790,168,"355,069","355,069","25,072","29,436","54,069","55,372","57,140","56,834","41,351","25,875","8,503","1,175",242,"177,640","177,640","12,878","14,999","28,021","28,629","29,472","28,476","19,821","11,765","3,176",335,68,"177,429","177,429","12,194","14,437","26,048","26,743","27,668","28,358","21,530","14,110","5,327",840,174,"350,647","350,647","23,694","27,914","54,166","53,127","55,790","55,953","42,357","26,911","9,179","1,310",246,"175,324","175,324","12,167","14,266","27,992","27,599","28,726","28,052","20,364","12,195","3,540",352,71,"175,323","175,323","11,527","13,648","26,174","25,528","27,064","27,901","21,993","14,716","5,639",958,175,"348,052","348,052","22,896","26,533","54,289","52,789","53,730","55,423","43,292","27,508","9,912","1,421",259,"173,567","173,567","11,792","13,495","27,736","27,299","27,734","27,822","20,980","12,387","3,854",399,69,"174,485","174,485","11,104","13,038","26,553","25,490","25,996","27,601","22,312","15,121","6,058","1,022",190,"346,194","346,194","22,115","25,227","55,028","51,458","52,463","54,608","44,789","27,942","10,763","1,525",276,"172,113","172,113","11,361","12,792","27,777","26,673","27,052","27,424","21,627","12,597","4,275",455,80,"174,081","174,081","10,754","12,435","27,251","24,785","25,411","27,184","23,162","15,345","6,488","1,070",196
서울특별시 중랑구,"418,836","418,836","30,647","40,155","60,013","67,991","70,549","73,444","43,212","24,551","7,097","1,041",136,"209,323","209,323","15,684","20,869","30,071","35,471","35,983","36,491","20,990","11,247","2,251",239,27,"209,513","209,513","14,963","19,286","29,942","32,520","34,566","36,953","22,222","13,304","4,846",802,109,"413,909","413,909","30,010","37,183","58,824","66,193","68,323","73,072","46,158","25,170","7,742","1,087",147,"206,505","206,505","15,349","19,276","29,546","34,546","34,771","36,307","22,309","11,606","2,520",245,30,"207,404","207,404","14,661","17,907","29,278","31,647","33,552","36,765","23,849","13,564","5,222",842,117,"411,005","411,005","29,145","34,792","58,560","64,909","66,466","72,772","48,476","26,198","8,380","1,153",154,"204,900","204,900","14,840","18,051","29,460","33,855","33,784","36,234","23,422","12,068","2,881",268,37,"206,105","206,105","14,305","16,741","29,100","31,054","32,682","36,538","25,054","14,130","5,499",885,117,"408,226","408,226","28,018","32,554","58,319","63,448","64,652","72,314","50,449","27,945","9,113","1,249",165,"203,325","203,325","14,315","16,866","29,425","33,066","33,016","35,798","24,481","12,763","3,267",289,39,"204,901","204,901","13,703","15,688","28,894","30,382","31,636","36,516","25,968","15,182","5,846",960,126,"403,209","403,209","26,293","30,589","57,490","62,177","61,536","72,008","52,463","29,329","9,783","1,372",169,"200,419","200,419","13,448","15,675","29,011","32,230","31,650","35,526","25,508","13,362","3,662",305,42,"202,790","202,790","12,845","14,914","28,479","29,947","29,886","36,482","26,955","15,967","6,121","1,067",127,"397,015","397,015","24,712","28,532","56,251","59,522","59,315","70,861","54,979","30,337","10,805","1,515",186,"196,959","196,959","12,733","14,594","28,185","30,761","30,550","35,033","26,722","13,833","4,155",352,41,"200,056","200,056","11,979","13,938","28,066","28,761","28,765","35,828","28,257","16,504","6,650","1,163",145
서울특별시 성북구,"466,706","466,706","38,257","46,985","66,278","74,619","81,624","72,045","46,121","30,334","8,834","1,352",257,"229,205","229,205","19,619","24,165","32,902","37,411","41,527","34,879","21,560","13,694","3,016",360,72,"237,501","237,501","18,638","22,820","33,376","37,208","40,097","37,166","24,561","16,640","5,818",992,185,"459,275","459,275","37,292","44,817","65,412","70,999","80,227","70,884","47,885","30,321","9,756","1,401",281,"224,980","224,980","19,107","22,911","32,550","35,530","40,605","34,385","22,401","13,625","3,432",357,77,"234,295","234,295","18,185","21,906","32,862","35,469","39,622","36,499","25,484","16,696","6,324","1,044",204,"450,355","450,355","35,453","43,041","64,375","67,183","78,758","69,510","48,775","30,941","10,563","1,451",305,"219,951","219,951","18,181","21,953","31,990","33,499","39,580","33,902","22,756","13,804","3,834",374,78,"230,404","230,404","17,272","21,088","32,385","33,684","39,178","35,608","26,019","17,137","6,729","1,077",227,"444,055","444,055","33,599","41,755","63,881","64,447","76,956","68,590","49,697","31,940","11,309","1,569",312,"216,556","216,556","17,201","21,302","31,805","32,072","38,539","33,536","23,260","14,167","4,187",410,77,"227,499","227,499","16,398","20,453","32,076","32,375","38,417","35,054","26,437","17,773","7,122","1,159",235,"435,868","435,868","31,323","40,086","63,590","62,008","73,259","68,347","50,620","32,478","12,097","1,728",332,"211,904","211,904","16,071","20,452","31,413","30,854","36,467","33,540","23,718","14,254","4,597",453,85,"223,964","223,964","15,252","19,634","32,177","31,154","36,792","34,807","26,902","18,224","7,500","1,275",247,"442,650","442,650","30,994","39,102","66,270","62,041","72,541","69,841","53,047","33,198","13,357","1,896",363,"214,437","214,437","15,859","19,980","32,366","30,843","35,847","34,323","25,035","14,451","5,147",491,95,"228,213","228,213","15,135","19,122","33,904","31,198","36,694","35,518","28,012","18,747","8,210","1,405",268
서울특별시 강북구,"335,025","335,025","23,600","32,328","43,692","52,086","57,041","55,353","38,180","25,022","6,538",976,209,"165,223","165,223","12,124","16,801","22,189","27,102","28,917","26,774","17,303","11,369","2,334",256,54,"169,802","169,802","11,476","15,527","21,503","24,984","28,124","28,579","20,877","13,653","4,204",720,155,"330,873","330,873","22,657","30,285","43,412","49,586","55,637","55,218","39,918","25,725","7,195","1,013",227,"162,967","162,967","11,635","15,717","21,969","25,906","28,204","26,822","18,147","11,605","2,642",259,61,"167,906","167,906","11,022","14,568","21,443","23,680","27,433","28,396","21,771","14,120","4,553",754,166,"327,195","327,195","21,631","28,351","43,432","47,400","54,538","54,834","41,217","26,426","8,027","1,098",241,"160,861","160,861","11,068","14,639","21,943","24,836","27,661","26,695","18,830","11,797","3,044",285,63,"166,334","166,334","10,563","13,712","21,489","22,564","26,877","28,139","22,387","14,629","4,983",813,178,"324,479","324,479","20,453","26,814","44,012","45,371","53,260","54,441","42,069","27,849","8,811","1,182",217,"158,918","158,918","10,461","13,825","22,014","23,858","26,939","26,357","19,387","12,320","3,393",315,49,"165,561","165,561","9,992","12,989","21,998","21,513","26,321","28,084","22,682","15,529","5,418",867,168,"319,164","319,164","18,921","25,261","43,842","43,446","50,661","54,270","42,837","28,854","9,574","1,269",229,"156,071","156,071","9,728","12,997","21,770","22,801","25,747","26,389","19,827","12,690","3,710",358,54,"163,093","163,093","9,193","12,264","22,072","20,645","24,914","27,881","23,010","16,164","5,864",911,175,"313,954","313,954","17,420","23,660","43,350","41,035","48,929","53,606","44,177","29,587","10,557","1,399",234,"153,235","153,235","8,960","12,188","21,376","21,525","25,002","26,064","20,609","12,921","4,142",390,58,"160,719","160,719","8,460","11,472","21,974","19,510","23,927","27,542","23,568","16,666","6,415","1,009",176
